Experiment;Model;Optimizer;Epoch;Train PPL;Valid PPL;Best val;TPE;Wall-clock
Exp 4;Transformer;ADAM;6;88.5267952062291;130.898918549051;130.898918549051;97.6420073509216;692
Exp 4;Transformer;ADAM;7;78.2703258903866;127.808738493464;127.808738493464;97.6211457252502;790
Exp 4;Transformer;ADAM;8;69.6897203354797;125.679219510399;125.679219510399;97.6253228187561;888
Exp 4;Transformer;ADAM;9;62.47120432295;124.266160769713;124.266160769713;97.9427115917205;986
Exp 4;Transformer;ADAM;10;56.2677746030981;124.953222934373;124.266160769713;94.3046948909759;1080
Exp 4;Transformer;ADAM;11;50.896364437692;125.789258966105;124.266160769713;94.3557610511779;1174
Exp 4;Transformer;ADAM;12;46.1578918349189;128.906943424978;124.266160769713;98.1863889694213;1272
Exp 4;Transformer;ADAM;13;41.9934779145177;131.042147414579;124.266160769713;94.185046672821;1366
Exp 4;Transformer;ADAM;14;38.2004967005293;134.556299467834;124.266160769713;98.4068839550018;1464
Exp 4;Transformer;ADAM;15;34.8043991294666;139.073992530291;124.266160769713;101.281359672546;1565
Exp 4;Transformer;ADAM;16;31.7838109247169;144.179749659696;124.266160769713;94.4800944328308;1659
Exp 4;Transformer;ADAM;17;28.9884145735192;149.562280886609;124.266160769713;98.993887424469;1758
Exp 4;Transformer;ADAM;18;26.5331082011128;153.511078458003;124.266160769713;96.7365112304687;1855
Exp 4;Transformer;ADAM;19;24.2550559688442;161.521395231911;124.266160769713;94.3671078681945;1949
Exp 4;Transformer;ADAM;20;22.2118084390766;168.813111872824;124.266160769713;94.3991088867187;2043
Exp 4;Transformer;ADAM;21;20.3504279615984;177.186658490333;124.266160769713;98.8984594345092;2142
Exp 4;Transformer;ADAM;22;18.6931369279454;185.814597008512;124.266160769713;95.0504682064056;2237
Exp 4;Transformer;ADAM;23;17.1297563502681;194.896222733594;124.266160769713;94.4397265911102;2331
Exp 4;Transformer;ADAM;24;15.73276158759;206.418714813231;124.266160769713;94.2405815124511;2425
